"","emm2","Fixed effect","variable"
"182",0.015301499571652,"Depth*P","s_Zn"
"183",0.0212503458322703,"N:P","s_Zn"
"184",-0.0419178946823788,"Depth*N*P","s_Zn"
"185",8.04215853391617,"intercept","s_P"
"186",-0.674316575376892,"Depth","s_P"
"187",0.977094633987974,"N addition","s_P"
"188",8.70937354785122,"P addition","s_P"
"189",-1.35406198297472,"Depth*N","s_P"
"190",0.857435817090526,"Depth*P","s_P"
"191",-7.48861943376017,"N:P","s_P"
"192",1.32963726180903,"Depth*N*P","s_P"
"193",121.774620191878,"intercept","Put"
"194",-108.106589193737,"Depth","Put"
"195",-61.7397915798184,"N addition","Put"
"196",-28.9241476609259,"P addition","Put"
"197",83.9820967596747,"Depth*N","Put"
"198",34.6405454047631,"Depth*P","Put"
"199",75.6219053448747,"N:P","Put"
"200",-88.3305883131661,"Depth*N*P","Put"
"201",30.3812495172844,"intercept","Spd"
"202",-9.46889671229432,"Depth","Spd"
"203",7.82682762623019,"N addition","Spd"
"204",9.24682279976686,"P addition","Spd"
"205",6.09489964104498,"Depth*N","Spd"
"206",-3.04070385200742,"Depth*P","Spd"
"207",2.95125250326945,"N:P","Spd"
"208",-14.9593626383871,"Depth*N*P","Spd"
"209",16.8290465538057,"intercept","Spm"
"210",-8.75151534315808,"Depth","Spm"
"211",-7.55384402126149,"N addition","Spm"
"212",-2.41908551267171,"P addition","Spm"
"213",12.353790840163,"Depth*N","Spm"
"214",4.02757036078713,"Depth*P","Spm"
"215",4.14331246579238,"N:P","Spm"
"216",-0.288895720805722,"Depth*N*P","Spm"
"217",70.9932023188124,"intercept","Asp"
"218",42.2959812410209,"Depth","Asp"
"219",53.5186648944117,"N addition","Asp"
"220",62.7541986122392,"P addition","Asp"
"221",-31.8846492271577,"Depth*N","Asp"
"222",-46.5024990912709,"Depth*P","Asp"
"223",-62.5335472149061,"N:P","Asp"
"224",33.3433421459008,"Depth*N*P","Asp"
"225",122.407027539977,"intercept","Glu"
"226",118.886563579381,"Depth","Glu"
"227",117.202635947573,"N addition","Glu"
"228",40.3959713284025,"P addition","Glu"
"229",-92.78306298084,"Depth*N","Glu"
"230",4.79402650655052,"Depth*P","Glu"
"231",-39.9278100401112,"N:P","Glu"
"232",21.2831923469629,"Depth*N*P","Glu"
"233",104.21303923599,"intercept","Arg"
"234",4.84919589935525,"Depth","Arg"
"235",347.690654855684,"N addition","Arg"
"236",61.3954199317964,"P addition","Arg"
"237",-490.35574570148,"Depth*N","Arg"
"238",8.21435816822033,"Depth*P","Arg"
"239",636.969449930513,"N:P","Arg"
"240",-668.726043708562,"Depth*N*P","Arg"
"241",264.850267807583,"intercept","Ala"
"242",154.744736319115,"Depth","Ala"
"243",229.634381099633,"N addition","Ala"
"244",47.5522984197229,"P addition","Ala"
"245",-181.788554971776,"Depth*N","Ala"
"246",-43.0533958973042,"Depth*P","Ala"
"247",-16.4352453787971,"N:P","Ala"
"248",0.719166056814413,"Depth*N*P","Ala"
"249",262.450624598657,"intercept","GABA"
"250",-41.1130429876401,"Depth","GABA"
"251",221.219540991994,"N addition","GABA"
"252",77.0296507670427,"P addition","GABA"
"253",-98.9411545680905,"Depth*N","GABA"
"254",33.6777429255226,"Depth*P","GABA"
"255",8.49739400240157,"N:P","GABA"
"256",-244.86404619171,"Depth*N*P","GABA"
"257",24.8992256980512,"intercept","Val"
"258",4.15298055037218,"Depth","Val"
"259",30.9233251574618,"N addition","Val"
"260",12.3105006790002,"P addition","Val"
"261",-33.1930576305184,"Depth*N","Val"
"262",-5.25566484655894,"Depth*P","Val"
"263",8.28662357905964,"N:P","Val"
"264",-29.013331771925,"Depth*N*P","Val"
"265",17.861739346548,"intercept","Ile"
"266",-0.203464519557867,"Depth","Ile"
"267",27.7951366645426,"N addition","Ile"
"268",16.773216443631,"P addition","Ile"
"269",-30.2229073683178,"Depth*N","Ile"
