"","leaf.char","variable","height","N","P","height*N","height*P","N*P","height*N*P","height.adj","N.adj","P.adj","heightN.adj","heightP.adj","NP.adj"
"15","Amino acids","Glu",2.87960842261237e-05,0.0608609179314363,0.322702684871705,0.02807185247896,0.676090853158553,0.578791691809722,0.767793316409451,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"43","Amino acids","Val",0.01239655593236,0.092426270714655,0.299681152583382,0.00450418677127451,0.273094826704299,0.631656708514058,0.386039251025869,0.995168352451161,0.921699878206974,0.980967238405729,0.188533713288157,0.902483386048603,0.983957706902323
"29","Polyamines","Put",5.91621521195407e-06,0.822233447164888,0.82907314616812,0.188438933251468,0.829072080252462,0.498067920549699,0.131270711957721,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"39","Polyamines","Spd",0.0343943469318103,0.332911860318632,0.504467270243496,0.829892894983294,0.379286346715058,0.797579380605709,0.504296391835811,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"40",NA,"Spm",0.671466634593449,0.745936653007895,0.400492969205351,0.00747242354321687,0.413256636270281,0.288593633755087,0.974579519350447,0.995168352451161,0.921699878206974,0.980967238405729,0.291424518185458,0.902483386048603,0.983957706902323
"10",NA,"Chl_A",1.04350972307543e-11,0.0141553473790574,0.395462838167642,0.98532694606488,0.320596437232277,0.670329616307249,0.541868525966549,0.995168352451161,0.537903200404183,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"11",NA,"Chl_B",2.15161222172355e-13,0.0189348782126504,0.282823874662234,0.503130829204212,0.458950041565923,0.85549566754452,0.822633902580166,0.995168352451161,0.662720737442763,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"13",NA,"Fe",0.299143390632016,0.0063617428316014,0.753168775214577,0.774787278028431,0.0274850441191328,0.938493275684652,0.73703794221226,0.995168352451161,0.27355494175886,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"17",NA,"K",0.0219036131662567,0.237137814209058,0.30517002220935,0.648675746784354,0.431734337024959,0.708228156678268,0.917672223538086,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"41",NA,"Sr",5.19118485975412e-08,0.681911431550704,0.658624911346902,0.105758601857617,0.528313483697021,0.980647786462666,0.379340952099916,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"4",NA,"Arg",0.00969803533069902,0.288778008434079,0.373120459822561,0.00459838325093065,0.294865109855523,0.507447281050142,0.24882049895371,0.995168352451161,0.921699878206974,0.980967238405729,0.188533713288157,0.902483386048603,0.983957706902323
"5",NA,"Asp",0.255473491537846,0.463748942961667,0.413958516003839,0.417531552262529,0.151609756114981,0.271992342370263,0.435260144784111,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"16",NA,"Ile",0.00221164179749511,0.275634742695516,0.426570046303908,0.0116335305876245,0.164808614357995,0.704416268472539,0.511679755635526,0.995168352451161,0.921699878206974,0.980967238405729,0.442074162329731,0.902483386048603,0.983957706902323
"18",NA,"Leu",0.00392591062824521,0.921699878206974,0.633848393365489,0.154478047445651,0.659087570932545,0.621299418817831,0.227414241832711,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"19",NA,"Lys",0.0757503684072758,0.118892240636824,0.601661023444168,0.00236332143863027,0.722458071876814,0.521318494549221,0.778323715823394,0.995168352451161,0.921699878206974,0.980967238405729,0.103986143299732,0.902483386048603,0.983957706902323
"27",NA,"Pro",0.00732074714400122,0.474972694984215,0.213304407031218,0.0587145161529412,0.0271911562548313,0.470036556129731,0.128050747052176,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"31",NA,"s_Al",0.329655602865378,0.196163587222375,0.563164421639312,0.133631950400354,0.633168524380077,0.276496909222369,0.59593867095012,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"32",NA,"s_Ca",0.000102491150270057,0.888258153891192,0.655588480319301,0.0875190183727195,0.68113309975814,0.564821020917706,0.471945574554282,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"33",NA,"s_K",0.0629879096809218,0.0448940127234811,0.856958064713036,0.328037332886135,0.180787641759182,0.26629118403989,0.980428661230869,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
