"","leaf.char","variable","mean.slope","slope.pval","type","N","P","N*P","type.1","N.1","P.1","N*P.1","type.2","N.2","P.2","N*P.2","vord"
"93",NA,"K","1.13734488076446","0.0811016069229154","Slope",0.468625682130381,0.215607178262326,0.0417451178763904,"Intercept",0.833724610388966,0.439975472828756,0.13949078323196,"Average",0.244242814616228,0.322598890821534,0.711241761823565,29
"129",NA,"Sr","0.0118327500001768","0.0028082962789339","Slope",0.132870247284294,0.720336358527012,0.61897830325262,"Intercept",0.687288069575545,0.132717864800709,0.644038752133589,"Average",0.679325796374758,0.654465445717104,0.988507508837264,30
"75",NA,"Arg","-415.124663013983","0.183474317194268","Slope",0.470205349224137,0.197235425967623,0.470611092261268,"Intercept",0.478777989089276,0.193820981817956,0.501618507020448,"Average",0.256714491715923,0.350258354950263,0.498578224579076,31
"78",NA,"Asp","16.7639091515745","0.256484440942219","Slope",0.639540418927511,0.754120365918242,0.763223344792411,"Intercept",0.91833118921762,0.495813733773807,0.263028657481741,"Average",0.457648624457169,0.422874070330752,0.289445253603141,32
"90",NA,"Ile","-26.3420050202698","0.051467795106662","Slope",0.135580981105035,0.16344941698069,0.190515172352766,"Intercept",0.285349976755196,0.324095112558789,0.140280376118199,"Average",0.229541961130763,0.606808757491638,0.57054463267149,33
"96",NA,"Leu","-56.2457263909009","0.0403628698935152","Slope",0.646548707392838,0.3727169932844,0.696255658105855,"Intercept",0.32870776286508,0.700579820226211,0.949343462841024,"Average",0.674915359814091,0.438133759129311,0.395566665567422,34
"99",NA,"Lys","-14.4909451289476","0.269188321104928","Slope",0.845800133361271,0.278396138259393,0.636265386077718,"Intercept",0.49580105359109,0.391887493889166,0.529037630049676,"Average",0.104984928936073,0.580832300933973,0.536629710893059,35
"102",NA,"Pro","-372.685547076461","0.177168921283583","Slope",0.200018135808736,0.165393555432776,0.234782132299665,"Intercept",0.207650438470939,0.16081784743275,0.209243532030067,"Average",0.455070851710534,0.233175077870637,0.51064906147495,36
"108",NA,"s_Al","-0.00707987956846013","0.75569972042881","Slope",0.223747349507991,0.303491837612015,0.340808424948967,"Intercept",0.882288986781903,0.968256959880466,0.781995139177322,"Average",0.141297979920476,0.786744890096827,0.241102762513224,37
"111",NA,"s_Ca","13.8287178073982","0.00814615007358705","Slope",0.577768951076246,0.228322877243805,0.301094519192943,"Intercept",0.73622340122603,0.496778594357393,0.828355550579399,"Average",0.825169479626104,0.713907761944949,0.618306266824392,38
"114",NA,"s_K","-4.32688285776783","0.503406993323548","Slope",0.211440519787354,0.00780929830762933,0.295274887712755,"Intercept",0.367408887142882,0.812666983970152,0.0550023307910532,"Average",0.0531091123601891,0.970577653504905,0.250351847111389,39
"120",NA,"s_Mn","2.00994743540681","0.301108718001335","Slope",0.365755697797436,0.780040090958589,0.297020064375818,"Intercept",0.655498149165234,0.47555708214896,0.683913581971321,"Average",0.0148947987255379,0.706962900081996,0.417735930196616,40
"123",NA,"s_P","-0.167552378803206","0.879865011799804","Slope",0.231244192022911,0.260181149759246,0.230628445859644,"Intercept",0.41392968037341,0.445988174224803,0.177345838777904,"Average",0.20716814360585,0.0387223496075414,0.161917229486223,41
"117",NA,"s_Mg","3.40441512421638","0.000401540862672899","Slope",0.215210555764473,0.509954408873657,0.257923970607383,"Intercept",0.792474219497595,0.32218051431975,0.822649923100867,"Average",0.189986170383288,0.755692372895972,0.448019546923225,42
"126",NA,"s_Zn","0.0160667619061776","0.191528601403776","Slope",0.581264248990991,0.213563125881015,0.630988065845151,"Intercept",0.834267241183308,0.945099782277867,0.352555200530964,"Average",0.178020552396985,0.983539934062384,0.898022912419408,43
