"","variable","height","height*N","height*N*P","height*P","intercept","N","N*P","P","vord","height.adj","N.adj","P.adj","heightN.adj","heightP.adj","NP.adj"
"16","Ile",0.00221164179749511,0.0116335305876245,0.511679755635526,0.164808614357995,7.43750886678107e-06,0.275634742695516,0.704416268472539,0.426570046303908,25,0.995168352451161,0.921699878206974,0.980967238405729,0.442074162329731,0.902483386048603,0.983957706902323
"19","Lys",0.0757503684072758,0.00236332143863027,0.778323715823394,0.722458071876814,3.28127802595723e-07,0.118892240636824,0.521318494549221,0.601661023444168,26,0.995168352451161,0.921699878206974,0.980967238405729,0.103986143299732,0.902483386048603,0.983957706902323
"28","protein",8.58069171272291e-12,0.575587820749334,0.21809456741998,0.719599289603399,0,0.877357292455259,0.595171953748459,0.327779403719285,27,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"42","total_chl",2.27307062061755e-12,0.826918912520451,0.6178059856766,0.353719347768496,0,0.01513508293174,0.725598385438084,0.353343792872338,28,0.995168352451161,0.559998068474381,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"9","carot",2.82188965528007e-08,0.226841914647669,0.422095106763194,0.428861547746408,0,0.0111452726617705,0.385458213281555,0.457457196251581,29,0.995168352451161,0.456956179132589,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"12","Chl_R",1.10633608940702e-07,0.263202645429111,0.506375222551153,0.254407538895906,0,0.637311349430994,0.982815656359043,0.16968169731942,30,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"10","Chl_A",1.04350972307543e-11,0.98532694606488,0.541868525966549,0.320596437232277,0,0.0141553473790574,0.670329616307249,0.395462838167642,31,0.995168352451161,0.537903200404183,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"11","Chl_B",2.15161222172355e-13,0.503130829204212,0.822633902580166,0.458950041565923,0,0.0189348782126504,0.85549566754452,0.282823874662234,32,0.995168352451161,0.662720737442763,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"17","K",0.0219036131662567,0.648675746784354,0.917672223538086,0.431734337024959,0,0.237137814209058,0.708228156678268,0.30517002220935,33,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"41","Sr",5.19118485975412e-08,0.105758601857617,0.379340952099916,0.528313483697021,1.33637402564002e-05,0.681911431550704,0.980647786462666,0.658624911346902,34,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"5","Asp",0.255473491537846,0.417531552262529,0.435260144784111,0.151609756114981,0.000563961035527916,0.463748942961667,0.271992342370263,0.413958516003839,35,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"18","Leu",0.00392591062824521,0.154478047445651,0.227414241832711,0.659087570932545,1.24988619454314e-09,0.921699878206974,0.621299418817831,0.633848393365489,36,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"31","s_Al",0.329655602865378,0.133631950400354,0.59593867095012,0.633168524380077,2.12784692088519e-08,0.196163587222375,0.276496909222369,0.563164421639312,38,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"32","s_Ca",0.000102491150270057,0.0875190183727195,0.471945574554282,0.68113309975814,7.32811811232637e-10,0.888258153891192,0.564821020917706,0.655588480319301,39,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"33","s_K",0.0629879096809218,0.328037332886135,0.980428661230869,0.180787641759182,0,0.0448940127234811,0.26629118403989,0.856958064713036,40,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"35","s_Mn",0.40357364562178,0.758416923470642,0.409214151931614,0.677135883872283,0,0.0226135587743914,0.399650957863463,0.770633466550336,41,0.995168352451161,0.768860998329308,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"36","s_P",0.545262127529545,0.718771114720501,0.68577065734573,0.362466229847106,1.61095474771056e-05,0.212420795980633,0.167753466649511,0.039642927854135,42,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"34","s_Mg",4.07183440298553e-08,0.544542301076488,0.287634779694714,0.597737441796705,2.22044604925031e-15,0.161769360143638,0.412535362570167,0.70239182171989,43,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"37","s_Zn",0.308110694333211,0.399722784770562,0.478478401448621,0.902483386048603,1.60336643295622e-07,0.22566802934391,0.983957706902323,0.980967238405729,44,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"23","moisture",1.24588228622713e-10,0.442680888054866,0.147560856768657,0.676318901916402,0,0.384324064191346,0.798650987865895,0.791267754445804,NA,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
