"","Group","vord","variable","depth","N","P","depth*N","depth*P","N*P","depth*N*P"
"12","Photosynthetic pigments",33,"Chl_R",5.92561435475147e-08,0.638337040038459,0.176687987957769,0.312996868891174,0.201717982191621,0.98874237952443,0.662317268164542
"7","Elements",34,"C",8.83737527601625e-13,0.825764769719461,0.74666454040512,0.0321963730867099,0.131331248567349,0.187689531582284,0.11899680224475
"30","Elements",35,"S",0.000590415852264492,0.0974822220621065,0.322133016899256,0.273062652728749,0.651995643420512,0.750280781540609,0.473919584024889
"17",NA,36,"K",0.0370901520774355,0.238714589948988,0.3046789519057,0.571359340863651,0.442544298798197,0.706935254157221,0.919024053054054
"41",NA,37,"Sr",4.83114008797969e-08,0.687064226386753,0.661485481077546,0.116134701027449,0.576318229481955,0.978901732146885,0.446168773763493
"25",NA,38,"N_P",0.64446277775197,0.0168049067112648,0.000702718150429327,0.539948935673413,0.417927359768684,0.0550791164015476,0.583552400815824
"16",NA,39,"Ile",0.00233059423839432,0.276231205349717,0.439476073057232,0.0104121884547264,0.13236893499913,0.693831514402824,0.452466496921643
"19",NA,40,"Lys",0.0617946730908884,0.116460068884813,0.601828533226332,0.00153453310129759,0.61508666504862,0.525103687306826,0.718809877701048
"5",NA,41,"Asp",0.184411165586454,0.46174718801821,0.413635164955573,0.427489690305791,0.14130349773211,0.270254816923613,0.43952969396785
"18",NA,42,"Leu",0.00209279882730362,0.920624675425913,0.621700554516572,0.127476935298178,0.63117488062875,0.623190460942835,0.21199975788937
"27",NA,43,"Pro",0.00512448906285357,0.479069308765079,0.218660373827133,0.0429328596727709,0.0184503801047897,0.476226834216453,0.0983521519655578
"23",NA,44,"moisture",1.14529941086516e-10,0.386893533410426,0.811519337604221,0.430699189042566,0.6083885647052,0.800520866348362,0.124701291227802
